image_id;model_name;caption
airbnb.jpg;best_model_20250725_125558.pkl;A cat is sitting on top of a chair.
airbnb.jpg;best_model_20250725_135939.pkl;A kitchen with white cabinets and white appliances.
airbnb.jpg;best_model_20250725_174616.pkl;A kitchen with white cabinets and white appliances.
airbnb.jpg;best_model_20250725_233058.pkl;A white stove top oven sitting in a kitchen.
airbnb.jpg;best_model_20250726_111600.pkl;A kitchen with white cabinets and white appliances.
airbnb.jpg;best_model_20250726_183853.pkl;A kitchen with a stove, sink, microwave and refrigerator.
amg_c63.jpg;best_model_20250725_125558.pkl;A man riding a skateboard on a city street.
amg_c63.jpg;best_model_20250725_135939.pkl;A car is parked in front of a car dealer.
amg_c63.jpg;best_model_20250725_174616.pkl;A car that is sitting in a parking lot.
amg_c63.jpg;best_model_20250725_233058.pkl;A car parked in front of a building.
amg_c63.jpg;best_model_20250726_111600.pkl;A car sitting in a parking lot next to a building.
amg_c63.jpg;best_model_20250726_183853.pkl;A car parked in a garage next to a window.
antibes.jpg;best_model_20250725_125558.pkl;A man riding a skateboard on a city street.
antibes.jpg;best_model_20250725_135939.pkl;A group of people walking down a busy street.
antibes.jpg;best_model_20250725_174616.pkl;A view of a city street at night.
antibes.jpg;best_model_20250725_233058.pkl;A city street filled with lots of traffic.
antibes.jpg;best_model_20250726_111600.pkl;A city street filled with lots of traffic.
antibes.jpg;best_model_20250726_183853.pkl;A city street filled with lots of traffic.
antibes_2.jpg;best_model_20250725_125558.pkl;A man riding a skateboard on a city street.
antibes_2.jpg;best_model_20250725_135939.pkl;A view of a street sign on a cloudy day.
antibes_2.jpg;best_model_20250725_174616.pkl;A tall building with a clock tower on it.
antibes_2.jpg;best_model_20250725_233058.pkl;A large building with a large clock on the side.
antibes_2.jpg;best_model_20250726_111600.pkl;A red and white street sign sitting next to a building.
antibes_2.jpg;best_model_20250726_183853.pkl;A tall building with a clock on the top of it.
baby_yoda.jpg;best_model_20250725_125558.pkl;A man riding a skateboard on a city street.
